78 m
168 4
168 0 1
167 1 -1
167 0 816
166 1 -71
166 0 252264
165 1 -2485
165 0 37184120
164 1 -57155
164 0 2866396380
163 1 -971635
163 0 140956933392
162 1 -13019981
162 0 4975059467556
161 2 1
161 1 -143225168
161 0 135394555897920
160 2 65
160 1 -1330334205
160 0 2977885458541038
159 2 2080
159 1 -10679466529
159 0 54699563941247208
158 2 43680
158 1 -77203129537
158 0 859615563847679496
157 2 677040
157 1 -587356441672
157 0 11772391395039588240
156 2 8259953
156 1 -6760061186294
156 0 142546901002768981538
155 2 82602715
155 1 -121262522338945
155 0 1544047063613986017936
154 2 696301840
154 1 -2321438358896259
154 0 15106159797565656829488
153 2 5049498350
153 1 -39660735347083725
153 0 134567981415894997449448
152 2 31996436810
152 1 -587913382094099084
152 0 1099012749345253509918237
151 2 179341118138
151 1 -7615794240044647848
151 0 8277580679785776950908176
150 2 898023504690
150 1 -87252797145396832700
150 0 57793618854705155985967596
149 2 4050259879055
149 1 -894009283584087432073
149 0 375751220783647797838144440
148 2 16567610882815
148 1 -8270586071945868252518
148 0 2284091818630406408556820260
147 2 61827052866605
147 1 -69640329874278457927268
147 0 13028246198678809028884155336
146 2 211571282557791
146 1 -537399065919643412563644
146 0 69957134121640505646979953900
145 2 666865393267060
145 1 -3823051585642505249166580
145 0 354680921673596557544909165424
144 2 1943762364879465
144 1 -25201729985756569297114751
144 0 1702474030092079964891618465433
143 2 5257827708317210
143 1 -154636851548058400448172687
143 0 7756105628681991309956690091816
142 2 13240533742042880
142 1 -886720983538036063694022123
142 0 33614802197226631164538162137600
141 2 31130290730559346
141 1 -4768611249108625240601044802
141 0 138890928216269575580589200027104
140 2 68511467590848535
140 1 -24127241926552176224606857725
140 0 548207256642648953391681886308426
139 2 141469702602671120
139 1 -115180278008325949713347042027
139 0 2070901798289218260312896560963872
138 2 274665876046653605
138 1 -520152009319343171792955411351
138 0 7500410070456726253784635301418968
137 2 502364348676261255
137 1 -2227358197992343095370701552843
137 0 26088157729971298606045611043909608
136 2 867069642126720630
136 1 -9063485238923918295192389997537
136 0 87280165869576448425190391669488092
135 3 -1
135 2 1414423710924470917
135 1 -35116091457675830931311661101131
135 0 281283235337446217048634401926899888
134 3 -39
134 2 2183682989159906642
134 1 -129782146582326588581076312968195
134 0 874448857580909040685069435726538628
133 3 -741
133 2 3194524504768379189
133 1 -458303277351556352991941284956268
133 0 2625783580859240680302246616456180752
132 3 -9139
132 2 4432839018255267985
132 1 -1548807327790754676333671143768633
132 0 7625283617062781462140055003230561588
131 3 -82251
131 2 5839853005204478663
131 1 -5016222578973369702286005267511751
131 0 21440375124998406319805162677258324344
130 3 -575796
130 2 7309464088356608087
130 1 -15591067540881479697426680815871751
130 0 58433780304860765280214132524017349072
129 3 -3263910
129 2 8697393220928536085
129 1 -46562842893876847484916462846578138
129 0 154524333603552807243336487281723119200
128 3 -15401568
128 2 9842912423909987595
128 1 -133775466096739230104034534355452779
128 0 396869961780815840780800192663219622937
127 3 -61737741
127 2 10603630107724559397
127 1 -370137034722333317361792516390095350
127 0 990848507976685701457136981563386798384
126 3 -213529147
126 2 10939064106321639179
126 1 -987286370541287908890254332840311388
126 0 2406779316058540413730056705590683435504
125 3 -645177390
125 2 11412742396064766850
125 1 -2541182485406981402557247855985610190
125 0 5692089141291553809810681868188077747424
124 3 -1720494204
124 2 17025238840086609062
124 1 -6317314958410034468904187113726190106
124 0 13116718330617816667626835503404047677276
123 3 -4084242331
123 2 64383058626490413602
123 1 -15181028644529256770969685342317311772
123 0 29470317205081603909082593817032540602720
122 3 -8694387355
122 2 395235491007461107525
122 1 -35292934059573133029461271659518755398
122 0 64597561301675258644129045211260183623840
121 3 -16701987029
121 2 2460816000233942544278
121 1 -79436027557923704760556174128496255714
121 0 138217619702846112741833659092469256855856
120 3 -29109427295
120 2 14225755378930759404718
120 1 -173219391271692900807015793561342978351
120 0 288835661677310811776104975263853449426698
119 3 -46238531300
119 2 75882162675543221227741
119 1 -366195303401995876478356215126253522798
119 0 589771084098390855799536340393108372444704
118 3 -67189612555
118 2 374892921986171406153479
118 1 -750995673045913109520585565510039242892
118 0 1177195635775271558960566521354358558539720
117 3 -89582253215
117 2 1723105669334857686388744
117 1 -1494946797601609174273496962354410392528
117 0 2297823853352790400884583272902070314182384
116 3 -109835746982
116 2 7398203305283762128283425
116 1 -2890133677737761261034056877424495587811
116 0 4387754867606996725886447812109056049684232
115 3 -124035395562
115 2 29780703268334845631514975
115 1 -5429253504860851802509020463990829568684
115 0 8199083215994467551598147114679067677012400
114 3 -129125203415
114 2 112760411703245452184763989
114 1 -9915280918542088588917410294940885399300
114 0 14997243031937366897851456865787712265842552
113 3 -123944684942
113 2 402779440402125922019126785
113 1 -17612161621510274433687449181936047313794
113 0 26859234625310322788045375854220371904010912
112 3 -109643053572
112 2 1360879272672138519071039953
112 1 -30440445451516392534624999544125516986088
112 0 47109946118451422768810928513582951419702958
111 3 -89275974515
111 2 4359726011508022981041076780
111 1 -51214924592866582943170907435057943867076
111 0 80938972909479685644039383534532641284484816
110 3 -66773034120
110 2 13272047236181695972875021378
110 1 -83910211430212987811115607808641617665136
110 0 136240933821327272431568296182094028181800736
109 3 -45739939744
109 2 38470239049780301515762976648
109 1 -133924778809914233035276626654249981106880
109 0 224714572828015519422734889962104121907070272
108 3 -28580344182
108 2 106369179929844006001904428610
108 1 -208295557156597490507409900125483753280389
108 0 363235472166997458682732050310884690620402196
107 3 -16203318781
107 2 281022367652854616167715584697
107 1 -315796664927036378431448885468024631089984
107 0 575479475653315116315893363381175190996985472
106 3 -8277335469
106 2 710512143681547956538737750587
106 1 -466841920043116072365747013618251491679394
106 0 893715535545301539157322561228902383736937520
105 3 -3775784831
105 2 1721575261333859297561555274603
105 1 -673107428690321478338445744128494410670928
105 0 1360607050794759106836039547949693187719028688
104 3 -1519950744
104 2 4002899754077326843048583371278
104 1 -946803964579354310417701130578383130238661
104 0 2030764034548493870212859906016210331160000727
103 3 -531584378
103 2 8942196029877979669850114781795
103 1 -1299563698788212359143766152719071371071973
103 0 2971685458343733350193645162340926700973773872
102 3 -158144091
102 2 19214145202423866790655632236442
102 1 -1740963192919507981243869830451756189171141
102 0 4263640447650450930499210850389813659233467360
101 3 -38855355
101 2 39751669941975557063542793244166
101 1 -2276780072812952937789852299942988064263961
101 0 5997984523030310623130183877181676228198888808
100 3 -7551533
100 2 79261709606063175867242918858158
100 1 -2907163750228564875911764801841422059156077
100 0 8273423196946493629715194795312289473476662988
99 3 -1085130
99 2 152451062010784182796683616783850
99 1 -3624974548418110566757499558424623206438433
99 0 11189849397806562491722627777580179796184933856
98 3 -102325
98 2 283082378679237248414060933777646
98 1 -4414591084035020838786735746481897066831317
98 0 14839613960954105559300330787913705363271627420
97 3 -4836
97 2 507855569901105597880962359922955
97 1 -5251484427330688341342854168185350210899632
97 0 19296442271378565314018330625603950400953955840
96 4 1
96 3 -2980
96 2 880881127517465276493079041098313
96 1 -6102797492765447346023417999546510571472190
96 0 24602661122550767987577473533323535123198794988
95 3 -196721
95 2 1478173762733850600216840320049817
95 1 -6929048582110667567699080689864815558748405
95 0 30755892990150340254406997164704714272723687352
94 3 -21299165
94 2 2401177847698332002989029963449765
94 1 -7686912221722965336364578890739018870280959
94 0 37696826092039228411767155003814393770663027352
93 3 -821492608
93 2 3777920823900357524004418514666626
93 1 -8332844978392258839055682888025569522962074
93 0 45299974888569237589943626823709172142036862832
92 3 -17717332204
92 2 5760109564246490872898733332084141
92 1 -8827154382346672012273919261846173876025389
92 0 53369404069746699450209006845274278794845341062
91 3 -257318805211
91 2 8514504924742288597356475465261236
91 1 -9137992489287399672232913718675263401489151
91 0 61641121075441004236577671801092158287995967152
90 3 -2779934852474
90 2 12207391735651430342076523516538792
90 1 -9244721533666587438626646268659403499836145
90 0 69793219046760485377204645872863686947181233712
89 3 -23750761325863
89 2 16981997066440926919029128083887457
89 1 -9140161585346673430395307616092580405784329
89 0 77463913900882318834320909747615136042852567608
88 3 -167210715345700
88 2 22930255803593546392945162317920610
88 1 -8831382899208443343183457562990633110989952
88 0 84276481043845796036213470724888307470120446491
87 3 -998950730390015
87 2 30062155656169454387017538691699410
87 1 -8338922492276653204728802150813080634646798
87 0 89868937769741403091742748453110767726591232944
86 3 -5176387508241625
86 2 38277610490873546412149839410306959
86 1 -7694544502507273508503328891157951478074018
86 0 93925349499644549795603234836661464496211944676
85 3 -23661639428473956
85 2 47346896111128453051181488331846449
85 1 -6937880820999875262625286912161787308737495
85 0 96205065917025661069028306892092465870029626504
84 3 -96694229454294732
84 2 56905640100878781041860876246956776
84 1 -6112441448864483190511176378146803712732919
84 0 96566165413313938624516398104297331499800789868
83 3 -357092509391951749
83 2 66468876791662632184165452856159536
83 1 -5261546751265630564854956964371435897512186
83 0 94979956860065357284135533381095272628619417624
82 3 -1202359920867131520
82 2 75465785421905212615553241303860006
82 1 -4424700020231854257441793725285011709937244
82 0 91534494972920856587093640487597489360947119316
81 3 -3718486757247138630
81 2 83292859953636960671753301254962547
81 1 -3634802500609402290473157313375312589181338
81 0 86426537713950376067045462407869674099235975184
80 3 -10628546182299304740
80 2 89379211966685554624098114039595295
80 1 -2916443789307105508013654777402478679520378
80 0 79942961070574391417335954693810959869420064411
79 3 -28226049208420150230
79 2 93254469906522718663289409057123575
79 1 -2285315292075613106503388687620639069015237
79 0 72434070705612438716502305297526711870404966808
78 3 -69961412162603572585
78 2 94608215529709279065131023890566639
78 1 -1748628749412695470200361480513527173329247
78 0 64282265435291900016578764863092730795721611712
77 3 -162477019404602926218
77 2 93330640610348843469861571058278698
77 1 -1306302275099206832200473827165736190076748
77 0 55869951383603358592883608156684700724377363232
76 3 -354745610396239112622
76 2 89527108766737028718719998156263927
76 1 -952616104136143391840669954262777011413443
76 0 47550429965647835541663130400482273398072004422
75 3 -730315129600195449986
75 2 83503969873948007875204591739881590
75 1 -678038636538000146414804184371290976674767
75 0 39624759085099172840772299883656699433468847072
74 3 -1421301376290767270559
74 2 75728246790359302593882916984860628
74 1 -470968534165244193059123119270393491277525
74 0 32326483749324595385939506628224330560642537192
73 3 -2620715245417306158186
73 2 66768476781642775250319228568464073
73 1 -319212308364323670409282367064742578650357
73 0 25814873119155768977429164924260281185569067992
72 3 -4587390198959519515044
72 2 57226993771600080745465225529944756
72 1 -211099551740777553442010806712955808423952
72 0 20176113304005892629198582179788552789795955308
71 3 -7636115924555519311638
