42 m
96 4
96 0 1
95 1 -1
95 0 828
94 1 -82
94 0 261294
93 1 -3239
93 0 39742776
92 1 -82082
92 0 3209945637
91 1 -1499575
91 0 164904733800
90 1 -21040873
90 0 6020207777054
89 2 1
89 1 -235885630
89 0 167264509788036
88 2 70
88 1 -2170576536
88 0 3700626534146034
87 2 2345
87 1 -16743358689
87 0 67298050598597100
86 2 50050
86 1 -111907227630
86 0 1029670922363193450
85 2 764400
85 1 -741809840695
85 0 13491647589697040664
84 2 8895334
84 1 -7280017048402
84 0 153512038093657657575
83 2 82007275
83 1 -120803724971125
83 0 1533848731113267484488
82 2 614856910
82 1 -2201048029546251
82 0 13581896042609796158154
81 2 3819309726
81 1 -35258270975603642
81 0 107396086108569803618292
80 2 19924258254
80 1 -479937650225458692
80 0 763252006140822543037020
79 2 88181077689
79 1 -5590265092457397193
79 0 4902297794867610283143996
78 2 333658379390
78 1 -56386459214755604476
78 0 28593474341983518317908678
77 2 1085671005489
77 1 -497864056500378774089
77 0 152089469009522352864221400
76 2 3051278839889
76 1 -3883263264981062549218
76 0 740494822401895229501377353
75 3 -1
75 2 7431534291240
75 1 -26961662103812553497053
75 0 3311292317358004640049479112
74 3 -42
74 2 15721960705779
74 1 -167709951162006103231853
74 0 13641318858198747231795521910
73 3 -819
73 2 28935656082928
73 1 -939770411939184758601374
73 0 51918814922371888651844249412
72 3 -9842
72 2 46367760539059
72 1 -4766440006303745225449100
72 0 183040188988170216601538416154
71 3 -81585
71 2 64755738639298
71 1 -21971824040867022463394291
71 0 599239605269946653660669445468
70 3 -494844
70 2 80224018228172
70 1 -92386082292872897212183662
70 0 1826062533648584197537923516042
69 3 -2273684
69 2 114715058834390
69 1 -355467246275257353406632477
69 0 5191357067049987699932103717528
68 3 -8086477
68 2 543437733605397
68 1 -1255085985049058111502579558
68 0 13799167014439721062108103679855
67 3 -22565872
67 2 5600665494288010
67 1 -4076837598449713407325388969
67 0 34368417405864145319832980449416
66 3 -49822850
66 2 54409874490114523
66 1 -12210395579810711771664401471
66 0 80371263220909098513287171082522
65 3 -87438134
65 2 450272230006530703
65 1 -33788784634915240046888079284
65 0 176825971155034670714875420583940
64 3 -122176789
64 2 3192999772120358256
64 1 -86545319342025847446434722764
64 0 366715563975885903274532697051672
63 3 -135736860
63 2 19617468040485871871
63 1 -205520655016463523893033730235
63 0 718195695393542968506407772404844
62 3 -119271334
62 2 105419135793792712724
62 1 -453158006979624228714389263626
62 0 1330544315909392968492301681204326
61 3 -81998328
61 2 499415934265389319336
61 1 -928971704260379629746386260013
61 0 2335476842842352465623256948300760
60 3 -43296527
60 2 2099766842699267834572
60 1 -1772679821355806435820154061054
60 0 3889605237931204417642964760350953
59 3 -17050122
59 2 7879933520950552108127
59 1 -3152053284394471037567742588711
59 0 6154263179709127486017916866093000
58 3 -4783756
58 2 26524935291891292177215
58 1 -5227573659723516093801977132893
58 0 9261337923328684663120039128531366
57 3 -890232
57 2 80431383144788752643556
57 1 -8092977614210941146483653297328
57 0 13268237712733403662696704089408916
56 3 -97594
56 2 220527501783839175722652
56 1 -11703855161076899696835208879400
56 0 18110778797160840686856046524925050
55 3 -4872
55 2 548522886967802019074013
55 1 -15820766839486236817151093489451
55 0 23567642842950307550410635585992220
54 4 1
54 3 -2984
54 2 1241306330180390503321902
54 1 -19999829988888512726186363276052
54 0 29251642076233759549505735132238530
53 3 -196734
53 2 2562253018978368987191259
53 1 -23654074123010421968905613727735
53 0 34639351454857417313904760575814200
52 3 -21102424
52 2 4834990390447946846256945
52 1 -26182295526612044866195588898358
52 0 39141434052899306079581323787472963
51 3 -779287839
51 2 8356977701642732626439972
51 1 -27129129191049082034719842211431
51 0 42203316495784036622681121959639016
50 3 -15358366086
50 2 13253182939999600431644100
50 1 -26318482853842761403985361445887
50 0 43413990673180128610051381409707410
49 3 -193547478005
49 2 19312645991317833929547060
49 1 -23906944413986701364362767991668
49 0 42594499501744135616672418674749188
48 3 -1719267778998
48 2 25891075780799922467842347
48 1 -20335023638567557194754447564344
48 0 39840497106997974756363172292420394
47 3 -11438205189481
47 2 31966099966503913137986004
47 1 -16196847839404306751288920677567
47 0 35505236192380586726198036599349748
46 3 -59401257398868
46 2 36376269656592977376422682
46 1 -12080793674259554559817879715310
46 0 30126702595138646744422728881262450
45 3 -248130475370232
45 2 38177773460068451181822388
45 1 -8438946102574314913913566129761
45 0 24319157215106805795116982737100936
44 3 -852802381640370
44 2 36971127528904203835133073
44 1 -5522547384158062870737899502174
44 0 18658931182153890812531956665651843
43 3 -2454339847178016
43 2 33044099213693474200585284
43 1 -3387978610175170375031604049953
43 0 13593616718406007238317925130207960
42 3 -5997448366769944
42 2 27261511910606427935024586
42 1 -1951073614059860280422416138287
42 0 9393684028940100452913441530883170
41 3 -12582067677871944
41 2 20758916254167747595064811
41 1 -1057348387527707441621295259790
41 0 6150576816307031888461174372745100
40 3 -22863668522610972
40 2 14586861474889945943472402
40 1 -541582074793585143233038514960
40 0 3811489279539102807488475418598970
39 3 -36244345349702112
39 2 9454881890329634627051463
39 1 -264074970308131954076314465327
39 0 2233037890954593669590609197191876
38 3 -50408752000753524
38 2 5650067270385806012495478
38 1 -123921231387898688262838909906
38 0 1235539269052700489173721093172486
37 3 -61787480206807488
37 2 3110660044276335981877020
37 1 -56794334056702910787048607793
37 0 644961966177450523988122804351080
36 3 -66981024680929324
36 2 1576462404927732012398946
36 1 -25838714245601787569806131134
36 0 317333372346633128597914153385833
35 3 -64390870272805608
35 2 734703436516979745692849
35 1 -11817112473694017258272873579
35 0 147036050390440455764776464022200
34 3 -55001129562357384
34 2 314517010647000642765704
34 1 -5448791394360624450802870173
34 0 64109326612682078637699264121926
33 3 -41800188451286496
33 2 123522371448077747978458
33 1 -2511265745228496764997645570
33 0 26285433933289745879004856196124
32 3 -28287331705045686
32 2 44452066331831930854514
32 1 -1138314784755005992364227476
32 0 10128837422273483533458748214232
31 3 -17050911909777480
31 2 14645305504574653891203
31 1 -498637859003557700341431095
31 0 3666534254915262227445194090100
30 3 -9153391242283876
30 2 4418268332196840892334
30 1 -207978252149852054005036004
30 0 1246379205967739727437787981882
29 3 -4373616550685256
29 2 1224440078773046808491
29 1 -81694599342805369867470119
29 0 397768483065007198475478591336
28 3 -1858125570938868
28 2 315052474769127397400
28 1 -29990611629207621602699646
28 0 119156204033841757210866948015
27 3 -700858248838440
27 2 77339592357624684276
27 1 -10234777618330362749876563
27 0 33500483118678149976312302328
26 3 -234219009558252
26 2 19138579195438159857
26 1 -3234387976673046859000707
26 0 8838579924291319503991285482
25 3 -69167688139368
25 2 5143058956854053508
25 1 -943664039487180910667822
25 0 2188009307823353087366746188
24 3 -17989254691492
