30 m
72 4
72 0 1
71 1 -1
71 0 840
70 1 -93
70 0 270444
69 1 -4092
69 0 42383080
68 1 -113305
68 0 3574181190
67 1 -2215353
67 0 191302281720
66 1 -32532517
66 0 7213179421980
65 2 1
65 1 -372621814
65 0 204540069467640
64 2 75
64 1 -3412768329
64 0 4555000638614265
63 2 2625
63 1 -25454098210
63 0 82111290745231680
62 2 56950
62 1 -158646794022
62 0 1224906812964086688
61 2 858001
61 1 -927419998134
61 0 15374633839009241280
60 2 9530703
60 1 -7792388909901
60 0 164468313592580596912
59 2 80889352
59 1 -119937433183678
59 0 1514702920517462694720
58 2 536430915
58 1 -2082532156661100
58 0 12107522080876806219360
57 2 2819214063
57 1 -31207125370626182
57 0 84550030162818428946880
56 2 11840949962
56 1 -388160674721436323
56 0 518603266283547013585620
55 3 -1
55 2 39907987383
55 1 -4033884304351524726
55 0 2806393267326445145566560
54 3 -45
54 2 107985719259
54 1 -35415566142121918146
54 0 13448257891360497546110160
53 3 -900
53 2 233986372515
53 1 -265219996868921903990
53 0 57247206647037779839405920
52 3 -10545
52 2 405391093426
52 1 -1707421289938928101137
52 0 217067066069434394790376776
51 3 -80325
51 2 616571447254
51 1 -9508457655222034410130
51 0 734907670618298137622798880
50 3 -417385
50 2 2216938076782
50 1 -46035970317935966941152
50 0 2226562712065240629841805904
49 3 -1510350
49 2 29192976485673
49 1 -194565044222646117856350
49 0 6049599361546924438260823200
48 3 -3817545
48 2 383439524238430
48 1 -720175500838663702947585
48 0 14771972823964902316085280100
47 3 -6663700
47 2 4005584866785443
47 1 -2340841062003815997987514
47 0 32489455362465661106700388800
46 3 -7829046
46 2 33552865571253342
46 1 -6695758232532399053981310
46 0 64517696655601561300639567200
45 3 -5937642
45 2 228936563496824217
45 1 -16884127153449852308649086
45 0 115976549185822939236389985600
44 3 -2737897
44 2 1288120919402900699
44 1 -37585779837951964588551065
44 0 189241129490549257163623635600
43 3 -709980
43 2 6033264458296698690
43 1 -73950180314995405398239430
43 0 281102481292195223249861803200
42 3 -93033
42 2 23697269703583154501
42 1 -128720636310785861391275868
42 0 381218306458110649483402948640
41 3 -4952
41 2 78510342572834392535
41 1 -198389247740031397504184750
41 0 473315370728610825104973000000
40 4 1
40 3 -2988
40 2 220434475913833990932
40 1 -270950516814562739291007747
40 0 539388221886312523287264786510
39 3 -196749
39 2 526544830668499527045
39 1 -328177353614165881043359880
39 0 565442952922487827094537348400
38 3 -20905665
38 2 1073515921923721153895
38 1 -352825121958161223898361900
38 0 546267342308663978867220952200
37 3 -737673476
37 2 1873361873594035682499
37 1 -337066341411194489156247894
37 0 487036072312398677283066591600
36 3 -13165856655
36 2 2805177401458229830522
36 1 -286549100030642131445892535
36 0 401126133025632401900064712900
35 3 -140843225377
35 2 3612513650871743554708
35 1 -217205912474433281940588676
35 0 305355195752425617389685589200
34 3 -988084446750
34 2 4009365785812753233584
34 1 -147217481937230197447390290
34 0 214881040495727662474219828200
33 3 -4807491329700
33 2 3842339191148684507395
33 1 -89584566844993814479340930
33 0 139752524238018157619762264400
32 3 -16867294281000
32 2 3185189662643593202946
32 1 -49232209231668638274039603
32 0 83954904595571181578229354510
31 3 -43957727423700
31 2 2287604719510338279711
31 1 -24639277623088567651699590
31 0 46547400645482134691300971200
30 3 -87146956208628
30 2 1425376002775958669322
30 1 -11356995714938848427486642
30 0 23793828000285904916432908640
29 3 -134068195480860
29 2 771400606753588293387
29 1 -4888850461881274609899650
29 0 11201525390651859351240187200
28 3 -162747209009950
28 2 362942893331467237725
28 1 -1994502540787617810285015
28 0 4851608784383677876909227600
27 3 -158085365377860
27 2 148575324182155550988
27 1 -780079703673499257397594
27 0 1931645356470934017739012800
26 3 -124301761066350
26 2 52962999347465981437
26 1 -293616937344848816796100
26 0 706586346197562252246967200
25 3 -79858879921080
25 2 16463858186383834581
25 1 -105746986080003395345586
25 0 237409699667325773015553600
24 3 -42227369716050
24 2 4477445092810542939
24 1 -35971774283277469028545
24 0 73272136490012719737528100
23 3 -18476629983360
23 2 1073864912261733425
23 1 -11378547590226651513130
23 0 20776029307044241584943200
22 3 -6713429870100
22 2 231541988909680941
22 1 -3299087641489662439758
22 0 5413156243655225981405904
21 3 -2029091274360
21 2 46758303662721417
21 1 -866825983140058736674
21 0 1296077674384258780625760
20 3 -510052077792
20 2 9457586960155032
20 1 -204715425656559092779
20 0 285121273563689463107976
19 3 -106391437840
19 2 2036575839004134
19 1 -43225136109970819518
19 0 57600841429124894015520
18 3 -18330177825
18 2 464453139232410
18 1 -8136714699456764200
18 0 10676633580358700721360
17 3 -2588908590
17 2 104780491332451
17 1 -1364811381681842346
17 0 1813207609545209419680
16 3 -296367225
16 2 21791307684037
16 1 -204411055501032963
16 0 281607371984896585620
15 3 -27045018
15 2 3995719020429
15 1 -27474735780291742
15 0 39898639004143044160
14 3 -1919700
14 2 630226675274
14 1 -3341531597440426
14 0 5141306296637024160
13 3 -102090
13 2 84180045915
13 1 -371720197146570
13 0 600376781240137920
12 3 -3825
12 2 9396669141
12 1 -38226042532611
12 0 63271444949241712
11 3 -90
11 2 863833562
11 1 -3654567085346
11 0 5989830078361920
10 3 -1
10 2 64184259
10 1 -323402216436
10 0 506803177195488
9 2 3755349
9 1 -26053373082
9 0 38110351922880
8 2 166455
8 1 -1859557145
8 0 2530530715065
7 2 5251
7 1 -113585367
7 0 147195608520
6 2 105
6 1 -5697127
6 0 7423471980
5 2 1
5 1 -222870
5 0 320043240
4 1 -6324
4 0 11556390
3 1 -115
3 0 338680
2 1 -1
2 0 7644
1 0 120
0 0 1
# param: 2_3_5_3
# height: 99
