130 m
252 8
252 0 1
251 2 -1
251 1 1489
251 0 -160512
250 1 42790637
250 0 8591390868
249 2 202
249 1 37919808701
249 0 -153523807205108
248 2 202
248 1 6907043984796
248 0 9599987895124218
247 2 -19089
247 1 517979377716600
247 0 154008124818755328
246 3 2
246 2 -41230
246 1 20766080842920846
246 0 -9302553812507179530
245 3 25
245 2 -84528826
245 1 496577971792422359
245 0 -264182014933396708008
244 3 -284
244 2 -76906228397
244 1 7165539342316183104
244 0 128847105491217659187
243 3 -4824
243 2 -14767259250005
243 1 51927298387099056752
243 0 132043961943989684135788
242 3 11688
242 2 -1213212367539681
242 1 -126140193239757134572
242 0 3498631283300366878579452
241 4 -1
241 3 415481
241 2 -55334499785259428
241 1 -6986700088138972661203
241 0 55128674446065857023261092
240 3 43152251
240 2 -1578923626493090460
240 1 -65755606168106592386771
240 0 625666713111523771434546819
239 4 182
239 3 37899104885
239 2 -29583110196375546606
239 1 -114229110940198206794722
239 0 5408195944392207441079526280
238 4 182
238 3 6907839149148
238 2 -357209594324739837201
238 1 3155684904258185141428684
238 0 35557547385659622834629180490
237 4 -15379
237 3 518739296189569
237 2 -2283994423522541925649
237 1 25222809988584740690096143
237 0 164979597123097908395441226392
236 4 -29484
236 3 20904997451522287
236 2 4760496635370431856980
236 1 -121368676822724463206762032
236 0 363123686884107050676993360711
235 4 791063
235 3 507088187513142000
235 2 264746437014335950970155
235 1 -4179123876249231082609901140
235 0 -1706570914054836975028674076524
234 4 2210754
234 3 7593166311097294756
234 2 2614550487663173199618889
234 1 -46938854568259160718763141764
234 0 -20182782082003136029848594096996
233 4 -27437323
233 3 62455247034734160126
233 2 8987750480896445092126021
233 1 -359755256216686830427794187933
233 0 -58674834496433071555550303260404
232 4 -102012844
232 3 34032241092119699498
232 2 -66742766807068575885555264
232 1 -2241210195381915831290415696808
232 0 538546214749751270989298552577171
231 4 672773942
231 3 -5675810589720907743359
231 2 -987881780313813046153536662
231 1 -12384461291756373814843792944954
231 0 8306138131267892857862616264997640
230 4 3259170462
230 3 -66257005660316258408675
230 2 -4250657205426723991013711100
230 1 -59632359374773091692753839675044
230 0 59878768008800015990054438308951614
229 4 -11816541921
229 3 -260483518487336257558929
229 2 13293491889869423660184317154
229 1 -198758144071626559608946740988429
229 0 268922765881678487473029792966552624
228 5 2
228 4 -77090578352
228 3 1684086685558561426304752
228 2 275969259385496017522719578075
228 1 142771525168032511561251002248545
228 0 578232302753366164224754777443259506
227 5 169
227 4 142678577290
227 3 27556563967970962575269622
227 2 1511694303636723986206421709854
227 1 8641962265784844780339539828281551
227 0 -1809521569200239374810895831289333924
226 5 2392
226 4 1327380412387
226 3 128236257464116579514867452
226 2 1804819725654355706946222644083
226 1 77639786401282962775004305452742619
226 0 -21465681295050350756827576857102155820
225 5 -3354
225 4 -21248777224403
225 3 -252013568555062045437612528
225 2 -27268251256534753877820507863466
225 1 444473766879932494169608079007462554
225 0 -69657804642566322183001459611509823536
224 5 -274794
224 4 -2331139864936298
224 3 -6395126323831804126196449620
224 2 -188110878974107788084372312428701
224 1 1787095048058034715818895506972505986
224 0 227050610853368942597734331208880252389
223 5 -1287091
223 4 -149583762053218278
223 3 -30445164076207165651289392109
223 2 -427547185343275062054977402090144
223 1 4615508668823722945797772992719922672
223 0 4104492432407546050098725370304361577216
222 5 9977032
222 4 -6177010675592169003
222 3 18563267161466951966265084014
222 2 935561321887167936908922209838758
222 1 2832600174873858383659342723895293980
222 0 26840560698018280702468345634181988272960
221 5 100718241
221 4 -174530671104808829452
221 3 929096974453792665347092732833
221 2 6965369814724088427191583082137692
