105 m
192 8
152 4 -837685443662941999537952324967390511
152 3 1730502146165959470738861839215447728646
152 2 -1507055578843869459707667270177772294744873
152 1 729785531110630055228926263676593194743761716
152 0 -95431985398683508723285235224250273982376079943
151 6 -4674673775486287984305981345
151 5 796495977936585231150310797389499
151 4 -4647509242327457357644270142369239853
151 3 9664648663605133967635008927070750625523
151 2 -8226412745110505634544103121430674131541263
151 1 3760079115492654325948300977237977171943581587
151 0 -219347941227993572071079303510617961612492377080
150 6 -21808808723145592698055461480
150 5 4363490515658367845888532689660228
150 4 -25008922505107168590919046312663690367
150 3 52181636609275507999247674749655440808407
150 2 -42752435865835887701260908686468809680431688
150 1 17560260338795702473458573659064720666414250263
150 0 707910624186711275320310884327624949693160825272
149 6 -97619925452346573351719210490
149 5 22950187839275001055126301973247556
149 4 -130633731718113351630378825898637339284
149 3 272343576854970673296011475121117539604973
149 2 -212943720480188332286946347475754723176043832
149 1 74066664112775219434312728552393302130936168840
149 0 12233021748097065829448042551219049313811184576712
148 6 -419521806415046378352911799750
148 5 115969380799079178221639112919902923
148 4 -662468060981622249144019078547817491830
148 3 1374973961240416610964534406227392884693445
148 2 -1025416351512154330004999312284264447265553004
148 1 277915178151158267404914597779986765012992026904
148 0 88210434292093233883309935211138581421601240209638
147 6 -1731916185032793151448783196939
147 5 563369799477722118006567432235334348
147 4 -3260297211437782576980181953384412118177
147 3 6724095539424845910318313964897858618960433
147 2 -4816068855483936490779405195884773959440520244
147 1 891938750467835720643853891256201973522287615159
147 0 450703281964772449747101046504520666494236484296720
146 6 -6871763788680788119322191412085
146 5 2632733321180013354657574835953943423
146 4 -15560100290619197970822674858522737724828
146 3 31905197122808165751356107503775577371939667
146 2 -22204503805083725079382916566051332056407903566
146 1 2178359580903423995707973258376898836505455938728
146 0 1696011186205762302688279881882208493965080429719220
145 6 -26215607180880712693900032995505
145 5 11842207675383211809098405963427522670
145 4 -71951233574103954016785494989122577578022
145 3 147130553619435688208706817747271096896168818
145 2 -100727816126326278586486301199599312584247066186
145 1 1900931157995935548422008822806754268148357665857
145 0 3849379230289428574446154445548602565986096332013624
144 6 -96195337764059898696054725681420
144 5 51297774043257863024310322754087496693
144 4 -322061996649241526682994636735041355786914
144 3 660325852979231265706432822517368446472926615
144 2 -448857753670701541432832920584059277820003110364
144 1 -20182060700120369224836301773168949200293143292088
144 0 -4735691820086992822217523008704173780558243721954854
143 6 -339605861027652752934457348592685
143 5 214096477115187532410361644738546635873
143 4 -1394341254472412915978738397611550031197209
143 3 2886769520917144471159650573866943453564747944
143 2 -1958043431531288687853814827270888741462959126909
143 1 -175271707074507960559815174066108761502884476337818
143 0 -111479976126642269858842726526529500141719907289029736
142 6 -1153777856213900608599567851485665
142 5 861287864505903219204846248839888738759
142 4 -5835250706065112401142130074411627471804124
