70 m
144 4
144 0 1
143 1 -1
143 0 804
142 1 -59
142 0 242550
141 1 -1711
141 0 34220296
140 1 -32568
140 0 2439615129
139 1 -458371
139 0 109383749448
138 1 -5094001
138 0 3495869531222
137 1 -46606932
137 0 85825611378300
136 1 -361352993
136 0 1699265379716808
135 1 -2424752382
135 0 28066428633708812
134 1 -14309337674
134 0 396427384131797886
133 2 1
133 1 -75201644559
133 0 4879741497132834504
132 2 49
132 1 -355493652589
132 0 53129333963427300925
131 2 1176
131 1 -1523920666914
131 0 517806008909447829336
130 2 18473
130 1 -5965388719931
130 0 4562015549212410931134
129 2 214082
129 1 -21507170822332
129 0 36631898285656722595492
128 2 1955439
128 1 -73483743146786
128 0 269949412250779042726863
127 2 14681194
127 1 -273943079114282
127 0 1836529628464912398682920
126 2 93259821
126 1 -1629879244960611
126 0 11593850590070781462288412
125 2 511881066
125 1 -16720819402413072
125 0 68219180185994667822433968
124 2 2466368005
124 1 -196237069762505041
124 0 375605260664271953231175906
123 2 10560265227
123 1 -2141566164875915816
123 0 1941787513282400796554558704
122 2 40570282906
122 1 -20925987498111642115
122 0 9454683525120483117582252060
121 2 140930614171
121 1 -183385236546972207816
121 0 43476500334708369659434464216
120 2 445419939450
120 1 -1452631032193906473506
120 0 189272838312680196918219769044
119 3 -1
119 2 1287350579704
119 1 -10482069756422808191564
119 0 781817515686859967859797864136
118 3 -35
118 2 3416453298661
118 1 -69377611610193041883940
118 0 3070225796089092713076898713444
117 3 -595
117 2 8353373919187
117 1 -423684174627648726677934
117 0 11483287008279866974648377642320
116 3 -6580
116 2 18869788182841
116 1 -2399587456995942592786064
116 0 40973658700923147019465149720486
115 3 -53445
115 2 39516967829737
115 1 -12659993050172866224529372
115 0 139680023546475134773663094681424
114 3 -340907
114 2 78035665692023
114 1 -62463055677010683744157025
114 0 455561643042717972831612473946548
113 3 -1781010
113 2 166730044984025
113 1 -289197511734904859456251290
113 0 1423264283171062101469047006259032
112 3 -7840005
112 2 672707798175563
112 1 -1260276354629531379190938441
112 0 4264293061521005297798177430109095
111 3 -29667925
111 2 5966129143832853
111 1 -5183345471480348094376373411
111 0 12265608454818249515837812946213188
110 3 -97929650
110 2 61116339131179519
110 1 -20168625264640447941353587808
110 0 33902612898639827683499158080880422
109 3 -285033896
109 2 569764939256903135
109 1 -74405521037849160590609747819
109 0 90129780297446322212203962886320072
108 3 -737476810
108 2 4716667616973952831
108 1 -260761828899129133719345897828
108 0 230650472566330888721303823931611353
107 3 -1706440085
107 2 34912098719479548958
107 1 -869677350844671404885707997379
107 0 568623419617062205401648266415153960
106 3 -3546884005
106 2 233208455492227309722
106 1 -2764653938365216543334616288417
106 0 1351416327713182726139678635493067222
105 3 -6643116700
105 2 1417429981186981239330
105 1 -8389215015800899066200301900600
105 0 3098387995373652416485867524778387548
104 3 -11234285517
104 2 7893563222389622493417
104 1 -24331712316528960419234515122199
104 0 6856989781528896453137312707088764644
103 3 -17172504020
103 2 40516693932062997243194
103 1 -67533185170410173298994745090110
103 0 14656615295202351412647173087317681596
102 3 -23731777265
102 2 192661110863637106755922
102 1 -179569373282305777149879694061587
102 0 30274163623670237740188644938114492950
101 3 -29633557205
101 2 852441156429562854911219
101 1 -457882956331017539768830158069501
101 0 60460357930540400008355349075219449544
100 3 -33389647760
100 2 3522976333633615663660145
100 1 -1120686215086458409784058721977036
100 0 116798898526097312931096346365988303641
99 3 -33877099606
99 2 13645488803360321111267509
99 1 -2635045145226679157258409728198004
99 0 218360777408880355063540842015284580504
98 3 -30862320491
98 2 49680788702012161006520368
98 1 -5956673287474413875304329449765074
98 0 395245644614418015345981216711729503286
97 3 -25153342214
97 2 170469538349753437846169043
97 1 -12955113361905713640206650782479240
97 0 692941331483909581465285540983278631540
96 3 -18257903951
96 2 552556956107149257439554895
96 1 -27125993342235969152158636938080764
96 0 1177161046573830736813637291140624698119
95 3 -11738483813
95 2 1695445542741552303096601092
95 1 -54714166764491466950173683824473814
95 0 1938440053030404942820863842989017653496
94 3 -6640182109
94 2 4933755816046083152377686147
94 1 -106371609132854296881302062907511797
94 0 3095336780792451922693594309010977978548
93 3 -3277775777
93 2 13639136804032995371050177985
93 1 -199428265841011868112558682843367848
93 0 4794687720489041147985596758578219630192
92 3 -1397269471
92 2 35873025009648123140050687548
92 1 -360735377805697196194203329096183237
92 0 7207160813343941234087012352363410586630
91 3 -507390879
91 2 89890551256510648425719348090
91 1 -629828064633066811819576374491822296
91 0 10516510304585166143310995597943229498128
90 3 -154041955
90 2 214863156440229166687159574254
90 1 -1061847863289364899638137450207241394
90 0 14901599690595932165880503974734948982212
89 3 -38066822
89 2 490454583434245214528563937584
89 1 -1729307301526462787097166247095642274
89 0 20511474931929994048777807283309686234824
88 3 -7353032
88 2 1070205506320567333753616877461
88 1 -2721461414409548377459349510470330259
88 0 27435427198826312109373278180476286878076
87 3 -1038535
87 2 2234446138285650245838641781377
87 1 -4139919704270782724013659229560236202
87 0 35671789090927351754112568646626101010680
86 3 -95007
86 2 4467596659613934200153081406913
86 1 -6089352178681187907657293782180022441
86 0 45100714482925130083167100034077594106124
85 3 -4272
85 2 8560797005644555191505927519512
85 1 -8662844455919899571532207943196064030
85 0 55466900035313700798824346878118072517296
84 4 1
84 3 -2980
84 2 15732448385950931919679855843085
84 1 -11922657804501552193223781767561693414
84 0 66377709887841368530294649976089610515242
83 3 -196663
83 2 27745950866639334608807694958973
83 1 -15878691048068144141967138991599180056
83 0 77320305779374619156536331901643428637968
82 3 -21299133
82 2 46987181671900614549476679085940
82 1 -20468464710206324167913206651391938577
82 0 87698356293751136721131569638890740283340
81 3 -821494306
81 2 76448519688374795582152710932033
81 1 -25543453104363726830413490534126747646
81 0 96885252283320258638820248118670906324392
80 3 -17717131787
80 2 119558937012183889994224588247498
80 1 -30866573481124922820381707771113645767
80 0 104287288748570239712623785868534440490818
79 3 -257276773398
79 2 179809765469434137589504957116037
79 1 -36124287464264060565291234857480622210
79 0 109407827158908467066974199034237744536064
78 3 -2777597218032
78 2 260160162487660756319193450062128
78 1 -40954128507061919186897207914100154038
78 0 111902672832362177116670875479523572710016
77 3 -23687074078971
77 2 362265468019740463197840611379719
77 1 -44985034099413125708663671412195330726
77 0 111618049552226594016188270619620108434080
76 3 -166124764989435
76 2 485645581195775301795958434411127
76 1 -47884493977016761306508094808413843609
76 0 108605418504795786938445599581437478230144
75 3 -985797768157930
75 2 626978152514211362986819566088345
75 1 -49404216541440704328540904762806479426
75 0 103111345440753271626394636141339927060416
74 3 -5054350022988112
74 2 779735176316338096254776658712754
74 1 -49415558111231180753407185397150059527
74 0 95544799100611065071772659674839178657200
73 3 -22750312718235550
73 2 934356860852758757220756691439103
73 1 -47927650534985720371288834892048823688
73 0 86427784302659156160101530097293944139200
72 3 -91025029856576585
72 2 1079063545613384115458713943082116
72 1 -45084658618649753202334658193388313160
72 0 76337402784378606611672910865879204166600
71 3 -326965162491642710
71 2 1201258494194551500528328059336234
71 1 -41142995211647271244834285004261042412
71 0 65847977192571015609339631496239380163200
70 3 -1062959242348042945
70 2 1289309243220554676929244125104581
70 1 -36433437466823660732725672949619525243
70 0 55480844855613306045940504648740993625200
69 3 -3148476770904156860
69 2 1334364560623080707781377719132169
69 1 -31315849288538821455759150260279599214
69 0 45667230348069736039031446415691065990016
68 3 -8544243044950896360
68 2 1331815700848241220755249515271081
68 1 -26134994592102897413086477629071389277
68 0 36726828326561527920661500425996459912064
67 3 -21344409472907380300
67 2 1282069036111428664371131770064556
67 1 -21184709085342698790160559238199708754
67 0 28861983490071059613992819975566276063200
66 3 -49281481835121694935
66 2 1190451700247310799410306213730070
66 1 -16685030050374038207330226045690232010
66 0 22165139255273262039392653400717451366336
65 3 -105532126229207165810
65 2 1066278523072522646929740719525394
65 1 -12773635406202355742882731271447770854
65 0 16635834903372297218148058483861228553664
64 3 -210234393870575255867
64 2 921304884293226609232796120380186
64 1 -9510003779452978457778018712334069427
64 0 12203032993129096270725226323287809640898
63 3 -390657789289947443370
63 2 767918181456181267906442799879013
63 1 -6888717585271363978535442390731481780
63 0 8748836361910586061406417005741760372872
62 3 -678709050609394288155
62 2 617447317203167124434878506490397
62 1 -4857548218688658930390421393225147617
62 0 6130469271801951009837987616277605089900
61 3 -1104770916028853194380
61 2 478896803902523644899475966561234
61 1 -3336271418970935145870141996363058654
61 0 4198471938958384636335157392456052825008
60 3 -1687998182429374945780
60 2 358272550494836233062025122751929
60 1 -2233198698830746740987153370404441356
60 0 2810140299893532405550132745229291195562
59 3 -2424980666106937889524
59 2 258508930104823242027829911134291
59 1 -1457733587976357610255126572485793202
59 0 1838151620602630564768601662887409765296
58 3 -3280443152367648822520
58 2 179877432432548587214160533125680
58 1 -928489118746975771908570547547418361
58 0 1174955004364705476298096599851048149644
57 3 -4184369898500812778520
57 2 120684884158541106465083446194887
57 1 -577401006369634724132276517129646334
57 0 733855770026607940442529006087882814200
56 3 -5038794905455881466730
56 2 78059666128235852675486435807551
56 1 -350763940970595703196146466253398377
56 0 447822728039863268753570953100394711996
55 3 -5734471538710577694780
55 2 48663854093153081356695441641261
55 1 -208253336109977409428310799165084178
55 0 266966985471699437719995871383081346824
54 3 -6173769772528102745910
54 2 29233829092012718342839549934072
54 1 -120883512297037863014530355763130398
54 0 155456556203598373502883801933614811012
53 3 -6293178896270559513920
53 2 16917716871792487672723233670545
53 1 -68618587522769520176200848413744800
53 0 88409475866144856583037608169906149968
52 3 -6078256168280427088720
52 2 9428337627018398402617493992828
