21 d
32 2
32 0 1
31 1 -1
31 0 700
30 1 42
30 0 166450
29 1 -735
29 0 14157144
28 1 6818
28 0 172452939
27 1 -34377
27 0 698037312
26 1 75516
26 0 548020270
25 1 76244
25 0 -1880028044
24 1 -721764
24 0 -2197442807
23 1 843444
23 0 -491168632
22 1 1724548
22 0 4507825988
21 1 -3786846
21 0 2111355800
20 1 -1157016
20 0 -1740354098
19 1 5737060
19 0 -3827606048
18 1 -548940
18 0 -67668968
17 1 -3679260
17 0 2564522408
16 1 736456
16 0 740971730
15 1 985446
15 0 -875048632
14 1 -178668
14 0 -767483048
13 1 -87808
13 0 333276832
12 1 10500
12 0 305714542
11 1 776
11 0 -128525320
10 2 1
10 1 -1484
10 0 -45193372
9 1 -46
9 0 24678248
8 1 -8
8 0 793513
7 1 153
7 0 -1689884
6 1 -14
6 0 207550
5 1 -49
5 0 37632
4 1 14
4 0 -10821
3 1 -1
3 0 504
2 0 130
1 0 -20
0 0 1
# param: 3_7_2
# height: 33
