26 d
42 2
42 0 1
41 1 -1
41 0 690
40 1 52
40 0 159519
39 1 -1222
39 0 12539216
38 1 17212
38 0 41482311
37 1 -162721
37 0 -183649986
36 1 1098032
36 0 228686835
35 1 -5506748
35 0 1408148976
34 1 21181368
34 0 -8439481050
33 1 -64261288
33 0 22564768720
32 1 157798888
32 0 -23189726586
31 1 -320657532
31 0 -84882957120
30 1 548299856
30 0 559803566881
29 1 -798130086
29 0 -1920027858246
28 1 996839744
28 0 4970897046969
27 1 -1073038148
27 0 -10654418571248
26 1 996826688
26 0 19663017526785
25 1 -798057702
25 0 -31900417250442
24 1 548065232
24 0 46052952451051
23 1 -320165820
23 0 -59604769449264
22 1 157051336
22 0 69478522226100
21 1 -63395176
21 0 -73128556610720
20 1 20433816
20 0 69576886840500
19 1 -5015036
19 0 -59831678013744
18 1 863408
18 0 46446937764331
17 1 -90337
17 0 -32474953753242
16 1 4107
16 0 20380729588545
15 2 1
15 1 -1484
15 0 -11427009812048
14 1 -269
14 0 5688568195449
13 1 1507
13 0 -2494386192726
12 1 -4888
12 0 953622197281
11 1 10244
11 0 -313750195200
10 1 -15574
10 0 87375460614
9 1 18044
9 0 -20169621680
8 1 -15574
8 0 3761091750
7 1 10244
7 0 -550524624
6 1 -4888
6 0 62003955
5 1 1508
5 0 -5482386
4 1 -273
4 0 410631
3 1 26
3 0 -21904
2 1 -1
2 0 1119
1 0 -30
0 0 1
# param: 2_13_2
# height: 47
