35 d
48 2
48 0 1
47 1 -1
47 0 708
46 1 35
46 0 171402
45 1 -525
45 0 15185504
44 1 4340
44 0 248865015
43 1 -20825
43 0 1763984952
42 1 52507
42 0 6992359702
41 1 -22260
41 0 19325688804
40 1 -243035
40 0 42055238451
39 1 596085
39 0 70108209360
38 1 -272090
38 0 108345969504
37 1 -671132
37 0 121198179480
36 1 969290
36 0 155029457048
35 1 -1612065
35 0 97918126080
34 1 2493785
34 0 141722714700
33 1 647290
33 0 -1509796288
32 1 -3217739
32 0 108236157813
31 1 3033590
31 0 -93954247716
30 1 -5781615
30 0 91135898154
29 1 1744085
29 0 -108382009680
28 1 1645840
28 0 66862445601
27 1 -2260650
27 0 -66642524048
26 1 6807810
26 0 38019611082
25 1 -2737140
25 0 -28638526644
24 1 2182740
24 0 17438539150
23 1 -125335
23 0 -8820058716
22 1 -1729889
22 0 5404139562
21 1 1024275
21 0 -1967888032
20 1 -1121960
20 0 1183191681
19 1 395675
19 0 -370697040
18 1 -54915
18 0 103145994
17 1 15582
17 0 -42145404
16 1 34755
16 0 -15703947
15 1 -6475
15 0 -3186512
14 1 1120
14 0 -4585140
13 1 -176
13 0 1313040
12 2 1
12 1 -1486
12 0 -38632
11 1 -7
11 0 399000
10 1 -19
10 0 211104
8 1 -9
8 0 6771
7 1 8
7 0 -6084
6 1 7
6 0 -5258
5 1 1
5 0 -792
4 0 -105
3 0 16
2 0 42
1 0 12
0 0 1
# param: 5_7_1
# height: 38
