15 d
24 2
24 0 1
23 1 -1
23 0 696
22 1 45
22 0 164340
21 1 -810
21 0 13817896
20 1 7305
20 0 157098114
19 1 -32715
19 0 634858536
18 1 49284
18 0 874458596
17 1 110520
17 0 32461560
16 1 -372510
16 0 -118035729
15 1 -22770
15 0 -637399376
14 1 603410
14 0 2156520
13 1 -108900
13 0 -32874480
12 1 -232560
12 0 158307100
11 1 55530
11 0 1325520
10 1 12060
10 0 607080
9 1 -856
9 0 -13369744
8 2 1
8 1 -1482
8 0 -1222929
7 1 -45
7 0 1215000
6 1 -31
6 0 220196
5 1 46
5 0 -35256
4 1 15
4 0 -11646
3 1 1
3 0 -376
2 0 180
1 0 24
0 0 1
# param: 3_5_3
# height: 30
