14 d
24 2
24 0 1
23 1 -1
23 0 684
22 1 56
22 0 156750
21 1 -1316
21 0 12213216
20 1 16912
20 0 40321029
19 1 -130186
19 0 -108374616
18 1 621768
18 0 -111403894
17 1 -1866256
17 0 856116540
16 1 3557016
16 0 -1240836966
15 1 -4388755
15 0 -641990124
14 1 3544296
14 0 5575461030
13 1 -1817872
13 0 -11371593240
12 1 550200
12 0 14286100605
11 1 -81802
11 0 -12621563640
10 1 4143
10 0 8124174630
9 2 1
9 1 -1480
9 0 -3805277724
8 1 -258
8 0 1268115354
7 1 1007
7 0 -290180340
6 1 -1491
6 0 44271626
5 1 1008
5 0 -4701816
4 1 -266
4 0 404229
3 1 28
3 0 -23904
2 1 -1
2 0 1230
1 0 -36
0 0 1
# param: 2_7_4
# height: 34
